GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,ZCTA,SABINSA,TOTAL,URBAN,URBAN_AREAS,URBAN_CLUSTER,RURAL,NONDF,Rural_Dummy
G31791,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31791,,,,,ZCTA5 31791,31791,,12354,6001,0,6001,6353,0,1
G31792,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31792,,,,,ZCTA5 31792,31792,,23835,19311,0,19311,4524,0,0
G31793,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31793,,,,,ZCTA5 31793,31793,,9043,3892,0,3892,5151,0,1
G31794,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31794,,,,,ZCTA5 31794,31794,,27153,19865,0,19865,7288,0,0
G31795,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31795,,,,,ZCTA5 31795,31795,,2010,0,0,0,2010,0,1
G31796,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31796,,,,,ZCTA5 31796,31796,,1112,0,0,0,1112,0,1
G31798,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31798,,,,,ZCTA5 31798,31798,,983,0,0,0,983,0,1
G31801,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31801,,,,,ZCTA5 31801,31801,,3008,0,0,0,3008,0,1
G31803,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31803,,,,,ZCTA5 31803,31803,,5662,0,0,0,5662,0,1
G31804,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31804,,,,,ZCTA5 31804,31804,,5934,0,0,0,5934,0,1
G31805,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31805,,,,,ZCTA5 31805,31805,,3191,0,0,0,3191,0,1
G31806,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31806,,,,,ZCTA5 31806,31806,,4962,0,0,0,4962,0,1
G31807,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31807,,,,,ZCTA5 31807,31807,,2483,0,0,0,2483,0,1
G31808,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31808,,,,,ZCTA5 31808,31808,,6679,0,0,0,6679,0,1
G31810,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31810,,,,,ZCTA5 31810,31810,,225,0,0,0,225,0,1
G31811,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31811,,,,,ZCTA5 31811,31811,,5103,0,0,0,5103,0,1
G31812,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31812,,,,,ZCTA5 31812,31812,,565,0,0,0,565,0,1
G31814,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31814,,,,,ZCTA5 31814,31814,,272,0,0,0,272,0,1
G31815,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31815,,,,,ZCTA5 31815,31815,,3675,0,0,0,3675,0,1
G31816,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31816,,,,,ZCTA5 31816,31816,,6091,3897,0,3897,2194,0,0
G31820,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31820,,,,,ZCTA5 31820,31820,,8473,4170,4170,0,4303,0,1
G31821,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31821,,,,,ZCTA5 31821,31821,,250,0,0,0,250,0,1
G31822,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31822,,,,,ZCTA5 31822,31822,,5429,0,0,0,5429,0,1
G31823,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31823,,,,,ZCTA5 31823,31823,,754,0,0,0,754,0,1
G31824,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31824,,,,,ZCTA5 31824,31824,,1838,0,0,0,1838,0,1
G31825,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31825,,,,,ZCTA5 31825,31825,,2312,0,0,0,2312,0,1
G31826,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31826,,,,,ZCTA5 31826,31826,,2350,197,0,197,2153,0,1
G31827,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31827,,,,,ZCTA5 31827,31827,,2134,0,0,0,2134,0,1
G31829,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31829,,,,,ZCTA5 31829,31829,,1370,0,0,0,1370,0,1
G31830,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31830,,,,,ZCTA5 31830,31830,,2191,2,0,2,2189,0,1
G31831,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31831,,,,,ZCTA5 31831,31831,,3095,0,0,0,3095,0,1
G31832,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31832,,,,,ZCTA5 31832,31832,,217,0,0,0,217,0,1
G31833,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31833,,,,,ZCTA5 31833,31833,,6900,3361,0,3361,3539,0,1
G31836,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31836,,,,,ZCTA5 31836,31836,,1154,0,0,0,1154,0,1
G31901,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31901,,,,,ZCTA5 31901,31901,,8638,8638,8638,0,0,0,0
G31903,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31903,,,,,ZCTA5 31903,31903,,20128,20128,20128,0,0,0,0
G31904,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31904,,,,,ZCTA5 31904,31904,,32871,31769,31769,0,1102,0,0
G31905,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31905,,,,,ZCTA5 31905,31905,,16044,15737,15737,0,307,0,0
G31906,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31906,,,,,ZCTA5 31906,31906,,21757,21757,21757,0,0,0,0
G31907,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31907,,,,,ZCTA5 31907,31907,,55332,55332,55332,0,0,0,0
G31909,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31909,,,,,ZCTA5 31909,31909,,35177,34807,34807,0,370,0,0
G32003,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32003,,,,,ZCTA5 32003,32003,,27126,27126,27126,0,0,0,0
G32008,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32008,,,,,ZCTA5 32008,32008,,5309,0,0,0,5309,0,1
G32009,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32009,,,,,ZCTA5 32009,32009,,3325,0,0,0,3325,0,1
G32011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32011,,,,,ZCTA5 32011,32011,,13854,5243,0,5243,8611,0,1
G32024,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32024,,,,,ZCTA5 32024,32024,,18733,1311,0,1311,17422,0,1
G32025,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32025,,,,,ZCTA5 32025,32025,,22380,15028,0,15028,7352,0,0
G32026,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32026,,,,,ZCTA5 32026,32026,,1959,0,0,0,1959,0,1
G32033,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32033,,,,,ZCTA5 32033,32033,,4118,0,0,0,4118,0,1
G32034,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32034,,,,,ZCTA5 32034,32034,,31008,22108,0,22108,8900,0,0
G32038,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32038,,,,,ZCTA5 32038,32038,,9228,0,0,0,9228,0,1
G32040,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32040,,,,,ZCTA5 32040,32040,,7604,1605,0,1605,5999,0,1
G32043,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32043,,,,,ZCTA5 32043,32043,,24632,17479,17479,0,7153,0,0
G32044,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32044,,,,,ZCTA5 32044,32044,,2060,0,0,0,2060,0,1
G32046,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32046,,,,,ZCTA5 32046,32046,,9410,0,0,0,9410,0,1
G32052,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32052,,,,,ZCTA5 32052,32052,,9223,5404,0,5404,3819,0,0
G32053,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32053,,,,,ZCTA5 32053,32053,,3869,0,0,0,3869,0,1
G32054,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32054,,,,,ZCTA5 32054,32054,,12307,5057,0,5057,7250,0,1
G32055,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32055,,,,,ZCTA5 32055,32055,,16570,9284,0,9284,7286,0,0
G32058,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32058,,,,,ZCTA5 32058,32058,,4416,0,0,0,4416,0,1
G32059,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32059,,,,,ZCTA5 32059,32059,,2377,0,0,0,2377,0,1
G32060,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32060,,,,,ZCTA5 32060,32060,,21363,584,0,584,20779,0,1
G32061,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32061,,,,,ZCTA5 32061,32061,,283,0,0,0,283,0,1
G32062,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32062,,,,,ZCTA5 32062,32062,,2449,0,0,0,2449,0,1
G32063,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32063,,,,,ZCTA5 32063,32063,,13429,9379,0,9379,4050,0,0
G32064,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32064,,,,,ZCTA5 32064,32064,,6860,6410,0,6410,450,0,0
G32065,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32065,,,,,ZCTA5 32065,32065,,32770,32634,32634,0,136,0,0
G32066,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32066,,,,,ZCTA5 32066,32066,,7312,0,0,0,7312,0,1
G32068,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32068,,,,,ZCTA5 32068,32068,,50815,41338,41338,0,9477,0,0
G32071,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32071,,,,,ZCTA5 32071,32071,,3671,0,0,0,3671,0,1
G32072,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32072,,,,,ZCTA5 32072,32072,,324,0,0,0,324,0,1
G32073,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32073,,,,,ZCTA5 32073,32073,,38920,38859,38859,0,61,0,0
G32079,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32079,,,,,ZCTA5 32079,32079,,433,0,0,0,433,0,1
G32080,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32080,,,,,ZCTA5 32080,32080,,20165,19394,19394,0,771,0,0
G32081,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32081,,,,,ZCTA5 32081,32081,,4524,80,80,0,4444,0,1
G32082,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32082,,,,,ZCTA5 32082,32082,,28996,27095,27095,0,1901,0,0
G32083,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32083,,,,,ZCTA5 32083,32083,,4690,0,0,0,4690,0,1
G32084,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32084,,,,,ZCTA5 32084,32084,,29729,24598,24598,0,5131,0,0
G32086,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32086,,,,,ZCTA5 32086,32086,,24546,21627,21627,0,2919,0,0
G32087,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32087,,,,,ZCTA5 32087,32087,,5518,0,0,0,5518,0,1
G32091,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32091,,,,,ZCTA5 32091,32091,,15472,5858,0,5858,9614,0,1
G32092,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32092,,,,,ZCTA5 32092,32092,,28242,15023,8401,6622,13219,0,0
