GISJOIN,YEAR,STUSAB,ZCTA5A,ZCTA_NAME,Total,Under0.5,0.5_0.99,1.00_1.24,1.25_1.49,1.50_1.84,1.85_1.99,Over2.0,Poverty_Dummy,Pct_Agg
G00794,2015-2019,PR,794,ZCTA5 00794,28179,9047,6686,2778,2437,1674,571,4986,1,55.83235743
G00795,2015-2019,PR,795,ZCTA5 00795,43835,10384,10117,3980,3979,5018,1361,8996,0,46.76856393
G00901,2015-2019,PR,901,ZCTA5 00901,5746,1346,1091,293,493,323,106,2094,0,42.41211277
G00906,2015-2019,PR,906,ZCTA5 00906,191,6,8,0,32,0,14,131,0,7.329842932
G00907,2015-2019,PR,907,ZCTA5 00907,15128,2127,1773,807,628,700,540,8553,0,25.78001058
G00909,2015-2019,PR,909,ZCTA5 00909,4619,1308,705,320,239,205,54,1788,0,43.58086166
G00911,2015-2019,PR,911,ZCTA5 00911,7078,866,897,441,404,495,339,3636,0,24.90816615
G00912,2015-2019,PR,912,ZCTA5 00912,5432,963,1316,412,330,472,201,1738,0,41.955081
G00913,2015-2019,PR,913,ZCTA5 00913,7869,5013,1378,263,264,112,39,800,1,81.21743551
G00915,2015-2019,PR,915,ZCTA5 00915,24856,9413,5755,2264,1799,1957,745,2923,1,61.02349533
G00917,2015-2019,PR,917,ZCTA5 00917,17995,5417,3533,1680,1333,1622,363,4047,0,49.73603779
G00918,2015-2019,PR,918,ZCTA5 00918,15759,4388,1804,738,431,1108,325,6965,0,39.29183324
G00920,2015-2019,PR,920,ZCTA5 00920,16207,2525,2680,1380,1489,1461,619,6053,0,32.11575245
G00921,2015-2019,PR,921,ZCTA5 00921,31339,9194,5044,2673,1658,2614,1049,9107,0,45.43220907
G00923,2015-2019,PR,923,ZCTA5 00923,23485,8589,4171,2208,1535,1765,499,4718,1,54.33255269
G00924,2015-2019,PR,924,ZCTA5 00924,47678,14985,8526,3382,2414,3220,1604,13547,0,49.31205168
G00925,2015-2019,PR,925,ZCTA5 00925,6081,2660,1259,335,353,399,88,987,1,64.44663707
G00926,2015-2019,PR,926,ZCTA5 00926,92795,14297,11062,5641,6288,7400,2126,45981,0,27.32798103
G00927,2015-2019,PR,927,ZCTA5 00927,13588,2048,1341,602,747,657,452,7741,0,24.94112452
G00934,2015-2019,PR,934,ZCTA5 00934,109,0,0,64,0,0,0,45,0,0
G00936,2015-2019,PR,936,ZCTA5 00936,0,0,0,0,0,0,0,0,0,#DIV/0!
G00949,2015-2019,PR,949,ZCTA5 00949,72647,12548,11903,6586,6079,6068,3005,26458,0,33.65727422
G00950,2015-2019,PR,950,ZCTA5 00950,0,0,0,0,0,0,0,0,0,#DIV/0!
G00951,2015-2019,PR,951,ZCTA5 00951,0,0,0,0,0,0,0,0,0,#DIV/0!
G00952,2015-2019,PR,952,ZCTA5 00952,7598,2805,1323,884,690,587,174,1135,1,54.33008686
G00953,2015-2019,PR,953,ZCTA5 00953,70992,9429,11466,7075,4963,7240,2258,28561,0,29.43289385
G00956,2015-2019,PR,956,ZCTA5 00956,62747,12867,11809,4553,5509,6006,2016,19987,0,39.32618293
G00957,2015-2019,PR,957,ZCTA5 00957,37951,6941,5889,3032,3200,4151,1542,13196,0,33.80675081
G00959,2015-2019,PR,959,ZCTA5 00959,45977,7246,6586,3826,4261,3752,1718,18588,0,30.08460752
G00960,2015-2019,PR,960,ZCTA5 00960,40,29,11,0,0,0,0,0,1,100
G00961,2015-2019,PR,961,ZCTA5 00961,28318,5394,3629,1868,2273,2134,994,12026,0,31.86312593
G00962,2015-2019,PR,962,ZCTA5 00962,19061,6251,4107,1242,1508,1216,553,4184,1,54.34132522
G00965,2015-2019,PR,965,ZCTA5 00965,6701,1908,1601,787,433,663,128,1181,1,52.36531861
G00966,2015-2019,PR,966,ZCTA5 00966,14827,1480,1470,632,700,788,216,9541,0,19.89613543
G00968,2015-2019,PR,968,ZCTA5 00968,3448,216,363,104,42,98,120,2505,0,16.79234339
G00969,2015-2019,PR,969,ZCTA5 00969,41747,3623,3814,2788,2097,2569,1116,25740,0,17.81445373
